WL,DC,DC_std,AC,AC_std,CD,CD_std,I_L,I_L_std,I_R,I_R_std,gabs,gabs_std,m_ellip,m_ellip_std,ellip,ellip_std
400.0,0.046281833201646805,0.0,2.223980726699981e-06,4.554972759746544e-07,2.223980726699981e-06,4.273476236341357e-06,0.0462840571823735,4.554972759746544e-07,0.04627960922092011,4.554972759746544e-07,4.8052995589224994e-05,9.841815772294145e-06,0.06881405968443943,0.014093924627453796,0.0006881823276264953,0.00014094779322701065
400.5,0.046918608248233795,0.0,3.2725225028294758e-06,7.537308623258722e-07,3.2725225028294758e-06,6.97553045571796e-06,0.046921880770736626,7.537308623258722e-07,0.046915335725730964,7.537308623258722e-07,6.97489253201083e-05,1.6064646639518462e-05,0.09988361081446684,0.023005299442957833,0.0009988966803768178,0.00023006694549048976
401.0,0.04790902137756348,0.0,4.626624070512899e-06,7.80583304692044e-07,4.626624070512899e-06,7.074699870301404e-06,0.04791364800163399,7.80583304692044e-07,0.047904394753492965,7.80583304692044e-07,9.657104105824248e-05,1.6293033801304134e-05,0.1382940917976916,0.02333236017225403,0.0013830247834055378,0.0002333377511222809
401.5,0.04880554974079132,0.0,4.51424844288292e-06,8.051391926188909e-07,4.51424844288292e-06,7.163212267880642e-06,0.0488100639892342,8.051391926188909e-07,0.04880103549234844,8.051391926188909e-07,9.249457217177792e-05,1.649687785292912e-05,0.13245640426509925,0.02362427405947036,0.0013246443679416325,0.00023625706701923933
402.0,0.04977036640048027,0.0,6.493500003925168e-06,3.732473832523407e-07,6.493500003925168e-06,3.256356883629773e-06,0.049776859900484194,3.732473832523407e-07,0.04976387290047635,3.732473832523407e-07,0.0001304692023296519,7.499389902999367e-06,0.18683778952809027,0.010739465002210992,0.001868491198973764,0.00010740116273587717
402.5,0.05044085532426834,0.0,7.746386839898325e-06,6.741623421580634e-07,7.746386839898325e-06,5.803474886950615e-06,0.05044860171110824,6.741623421580634e-07,0.050433108937428445,6.741623421580634e-07,0.00015357366147142527,1.3365402664647268e-05,0.21992441838157212,0.01913986017716313,0.0021993775521713193,0.0001914102087214052
403.0,0.05121557414531708,0.0,9.63141933617367e-06,1.0266867790126223e-06,9.63141933617367e-06,8.70446304584394e-06,0.05122520556465325,1.0266867790126223e-06,0.051205942725980905,1.0266867790126223e-06,0.00018805645542205296,2.0046378394578594e-05,0.26930533650973976,0.028707319125193316,0.0026932166794312417,0.00028709060017802484
403.5,0.051981121301651,0.0,1.2308226396657001e-05,1.2948943630490564e-06,1.2308226396657001e-05,1.0816699352302499e-05,0.051993429528047655,1.2948943630490564e-06,0.05196881307525435,1.2948943630490564e-06,0.00023678262585432285,2.4910858608352657e-05,0.3390834129689782,0.03567347446389364,0.0033910397594126254,0.000356756378037641
404.0,0.05297107994556427,0.0,1.23544628003241e-05,1.0397659301742356e-06,1.23544628003241e-05,8.52320271399522e-06,0.052983434408364595,1.0397659301742356e-06,0.052958725482763945,1.0397659301742356e-06,0.0002332303364972012,1.9628935850330992e-05,0.3339963741935604,0.028109522550756237,0.0033401662867349933,0.00028111227191299036
404.5,0.05375775694847107,0.0,1.4959468945743247e-05,6.720786293319371e-07,1.4959468945743247e-05,5.428564578735676e-06,0.053772716417416815,6.720786293319371e-07,0.053742797479525324,6.720786293319371e-07,0.000278275541892168,1.2501984224828261e-05,0.3985031424925619,0.01790340598067026,0.003985273088444414,0.00017904491693586006
405.0,0.05470845475792885,0.0,1.6866236645085656e-05,7.197187511040904e-07,1.6866236645085656e-05,5.712345031854732e-06,0.05472532099457393,7.197187511040904e-07,0.054691588521283765,7.197187511040904e-07,0.00030829305487999086,1.3155530608361446e-05,0.44148957663665217,0.01883931391505691,0.004415163498068545,0.00018840456384063277
405.5,0.05545981228351593,0.0,1.920069199527024e-05,8.865588025134437e-07,1.920069199527024e-05,6.94121046643967e-06,0.0554790129755112,8.865588025134437e-07,0.05544061159152066,8.865588025134437e-07,0.0003462091053809278,1.5985607704210562e-05,0.49578707318554055,0.02289211211831803,0.004958171391087174,0.00022893500360411317
